id_fatura,id_pedido,data_emissao,data_vencimento,valor_fatura,status_fatura,dias_em_atraso
1,80765,2024-05-29,2024-06-19,1198.12,paga,0
2,62073,2023-03-20,2023-04-10,1427.37,aberta,0
3,4320,2025-04-19,2025-04-19,1052.35,paga,0
4,41941,2024-04-03,2024-04-10,824.54,paga,0
5,67009,2025-09-27,2025-10-27,781.22,paga,0
6,75958,2025-07-01,2025-07-08,700.0,aberta,0
7,63644,2022-04-28,2022-05-19,719.8,aberta,0
8,6556,2023-07-01,2023-07-01,1038.69,aberta,0
9,8919,2022-10-09,2022-10-23,282.3,paga,0
10,39172,2024-04-21,2024-05-05,430.03,aberta,0
11,101394,2025-05-20,2025-06-19,852.71,paga,0
12,13234,2022-02-05,2022-02-26,603.67,paga,0
13,60917,2025-03-18,2025-04-17,826.73,paga,0
14,38258,2022-09-27,2022-10-11,823.56,aberta,0
15,114770,2023-12-06,2023-12-13,232.67,aberta,0
16,19842,2024-02-25,2024-03-17,531.06,aberta,0
17,17918,2025-04-09,2025-04-16,393.98,paga,0
18,97070,2024-09-02,2024-10-02,387.43,atrasada,1
19,28735,2022-11-07,2022-11-28,860.36,paga,0
20,36529,2022-08-27,2022-09-26,466.81,paga,0
21,98754,2022-03-09,2022-03-23,650.23,paga,0
22,25149,2025-05-07,2025-05-21,1489.06,aberta,0
23,115102,2025-02-18,2025-03-20,561.74,paga,0
24,53364,2022-10-28,2022-11-11,684.32,aberta,0
25,73237,2023-02-11,2023-03-04,272.12,aberta,0
26,83218,2025-07-27,2025-08-10,678.02,paga,0
27,96640,2024-12-21,2025-01-11,2335.04,paga,0
28,65075,2024-05-03,2024-05-10,950.33,paga,0
29,53686,2024-11-16,2024-12-07,496.81,paga,0
30,46781,2023-02-05,2023-03-07,546.31,paga,0
31,72701,2023-11-21,2023-12-05,599.39,paga,0
32,23215,2023-04-22,2023-05-13,1544.22,paga,0
33,111355,2024-01-05,2024-01-26,1027.56,paga,0
34,81367,2022-10-29,2022-11-12,991.18,paga,0
35,102872,2022-09-03,2022-09-17,357.05,paga,0
36,101403,2022-10-15,2022-10-29,866.31,aberta,0
37,82903,2023-06-06,2023-06-27,982.52,paga,0
38,54047,2023-12-20,2024-01-10,1911.78,paga,0
39,71847,2025-08-17,2025-08-17,655.09,paga,0
40,42993,2022-10-26,2022-11-16,747.18,paga,0
41,110072,2024-09-30,2024-10-21,345.26,atrasada,15
42,57523,2024-06-11,2024-06-25,576.93,paga,0
43,13232,2023-02-26,2023-03-28,579.52,aberta,0
44,97989,2025-02-17,2025-03-19,322.5,paga,0
45,29050,2022-05-02,2022-05-23,1253.23,paga,0
46,47196,2024-07-24,2024-08-07,862.94,paga,0
47,86798,2024-01-10,2024-01-31,424.22,aberta,0
48,35051,2023-03-04,2023-03-11,456.12,paga,0
