id_pedido,id_cliente,id_vendedor,data_pedido,status_pedido
1,18082,154,2023-05-14,ganho
2,867,48,2025-09-09,ganho
3,9575,169,2024-08-21,ganho
4,17333,157,2024-03-23,ganho
5,16450,62,2025-05-06,em_negociacao
6,1308,43,2023-02-12,ganho
7,4563,48,2025-04-24,ganho
8,1720,77,2024-06-10,ganho
9,15796,186,2025-01-13,ganho
10,10251,88,2023-08-15,ganho
11,24747,64,2024-03-25,cancelado
12,8956,94,2024-01-28,ganho
13,16560,11,2022-05-25,em_negociacao
14,18106,124,2023-07-09,em_negociacao
15,2745,178,2023-05-05,ganho
16,20110,77,2023-07-27,ganho
17,9190,65,2022-07-09,cancelado
18,18264,194,2025-08-05,ganho
19,4090,178,2022-09-11,em_negociacao
20,19638,178,2022-12-28,ganho
21,12930,185,2024-06-21,ganho
22,11306,166,2023-01-20,cancelado
23,23288,23,2024-11-14,ganho
24,2292,183,2024-06-24,ganho
25,10854,61,2023-11-19,ganho
26,2697,179,2022-02-16,ganho
27,33,140,2022-03-17,ganho
28,18809,71,2024-07-20,em_negociacao
29,10564,151,2024-02-19,ganho
30,16832,39,2025-01-24,ganho
31,11455,63,2023-10-11,em_negociacao
32,18824,124,2024-09-06,em_negociacao
33,10600,71,2023-02-15,em_negociacao
34,13449,136,2025-01-17,ganho
35,5178,93,2025-05-06,ganho
36,15153,153,2022-06-24,ganho
37,21804,21,2024-09-06,ganho
38,9872,190,2025-01-08,cancelado
39,4674,196,2025-03-16,ganho
40,3183,78,2024-08-09,ganho
41,23718,147,2024-03-11,em_negociacao
42,10923,54,2022-01-28,em_negociacao
43,5477,6,2024-02-10,ganho
44,23920,98,2025-01-21,em_negociacao
45,23907,103,2024-10-18,ganho
46,3055,68,2024-12-21,ganho
47,23268,161,2024-04-23,ganho
48,9717,196,2023-07-27,ganho
49,20890,196,2023-06-22,em_negociacao
50,5580,80,2022-06-24,em_negociacao
51,2512,164,2025-05-12,ganho
52,1951,132,2022-12-27,ganho
53,10904,191,2024-01-26,ganho
54,19896,135,2025-02-25,ganho
55,19866,83,2024-09-24,em_negociacao
56,7482,6,2025-04-09,ganho
57,2075,35,2024-11-11,em_negociacao
58,18470,90,2024-08-23,ganho
59,23599,188,2023-06-23,ganho
60,9713,17,2025-09-09,ganho
61,21744,7,2023-04-20,em_negociacao
62,10107,101,2024-01-28,ganho
63,20187,36,2025-05-14,ganho
64,14869,168,2024-07-08,ganho
65,591,187,2022-07-01,ganho
66,11252,80,2022-03-15,ganho
67,12057,110,2024-11-18,ganho
68,20164,147,2023-09-20,em_negociacao
69,19030,27,2025-02-17,ganho
70,13434,106,2024-05-12,em_negociacao
71,13995,135,2025-08-18,ganho
72,5811,71,2023-08-21,ganho
73,4059,26,2022-05-13,ganho
74,5656,23,2023-03-27,ganho
75,12138,34,2024-06-01,ganho
76,21270,51,2022-01-03,em_negociacao
77,17179,62,2022-07-19,ganho
78,1341,131,2024-07-24,em_negociacao
79,13121,43,2025-05-02,ganho
80,21825,199,2023-07-31,ganho
81,24718,155,2022-07-24,ganho
82,13040,13,2022-06-15,em_negociacao
83,10730,55,2024-11-02,em_negociacao
84,15453,164,2025-09-09,ganho
85,2068,113,2023-09-19,cancelado
86,21677,142,2022-10-18,cancelado
87,24231,150,2023-10-23,ganho
88,21844,145,2022-03-31,em_negociacao
89,21662,193,2022-11-18,ganho
90,18368,103,2024-03-08,ganho
91,11878,108,2023-10-09,cancelado
92,4966,91,2025-01-09,ganho
93,4444,13,2025-06-01,cancelado
94,9239,78,2023-04-15,ganho
95,15255,160,2023-05-07,ganho
96,22312,166,2025-03-18,ganho
97,555,25,2022-09-13,ganho
98,11228,54,2023-06-20,em_negociacao
99,22101,23,2024-01-09,ganho
100,566,135,2022-04-07,ganho
101,15913,2,2022-01-30,ganho
102,7863,110,2022-06-29,ganho
103,15198,22,2022-05-23,cancelado
104,13741,113,2023-08-22,ganho
105,21459,57,2022-08-06,ganho
106,20910,200,2024-04-01,ganho
107,5042,188,2025-05-16,ganho
108,20695,124,2024-05-01,cancelado
109,326,29,2023-05-27,cancelado
110,11155,11,2023-04-24,ganho
111,18500,166,2022-10-01,ganho
112,24113,89,2025-08-05,ganho
113,13335,103,2024-10-14,ganho
114,21381,124,2025-04-15,ganho
115,11712,17,2023-09-17,em_negociacao
116,6433,30,2025-04-06,ganho
117,6732,68,2024-08-01,ganho
118,7396,51,2023-07-18,cancelado
119,16955,164,2024-04-29,ganho
120,15924,32,2025-02-23,em_negociacao
121,10845,65,2023-12-17,ganho
122,12807,63,2025-08-22,em_negociacao
123,23088,113,2024-10-17,em_negociacao
124,22134,116,2025-08-29,em_negociacao
125,16122,180,2023-03-09,ganho
126,21438,178,2025-09-04,ganho
127,12052,14,2025-04-21,cancelado
128,239,148,2023-01-30,ganho
129,7717,112,2022-07-23,ganho
130,11726,149,2024-11-13,ganho
131,994,69,2024-07-12,em_negociacao
132,2039,153,2023-05-25,ganho
133,5417,92,2023-06-24,ganho
134,10071,162,2022-06-16,ganho
135,24039,107,2025-05-15,em_negociacao
136,18152,118,2025-05-31,em_negociacao
137,2949,185,2024-07-31,ganho
138,20129,51,2025-03-09,ganho
139,18864,62,2024-08-04,ganho
140,3071,135,2025-01-30,em_negociacao
141,24492,194,2025-04-10,ganho
142,6602,181,2023-04-14,ganho
143,5898,129,2024-02-28,ganho
144,1469,179,2022-02-05,ganho
145,7435,150,2024-09-23,ganho
146,13626,70,2023-01-14,ganho
147,21715,31,2023-04-18,ganho
148,18099,134,2024-01-05,em_negociacao
149,6909,127,2023-12-21,em_negociacao
150,24539,33,2022-06-04,ganho
151,20997,131,2023-02-27,ganho
152,4592,195,2024-03-21,ganho
153,22893,1,2023-05-19,ganho
154,4669,198,2022-12-26,ganho
155,4749,26,2022-03-19,ganho
156,4397,31,2025-06-24,ganho
157,23319,49,2024-01-23,ganho
158,15632,168,2023-10-21,em_negociacao
159,22521,193,2023-02-08,em_negociacao
160,22410,90,2025-05-13,ganho
161,14198,103,2024-03-25,ganho
162,4704,42,2022-07-30,ganho
163,17453,29,2022-03-30,ganho
164,12419,193,2022-01-21,ganho
165,13418,78,2024-04-07,ganho
166,421,16,2024-02-14,ganho
167,14600,142,2022-08-04,cancelado
168,17409,94,2022-03-14,ganho
169,17875,106,2024-06-24,ganho
170,24136,163,2024-01-03,ganho
171,12247,93,2023-02-03,ganho
172,20417,141,2023-09-21,ganho
173,24606,116,2025-05-05,ganho
174,4716,181,2022-06-22,ganho
175,4479,54,2022-04-13,ganho
176,14245,103,2025-06-06,ganho
177,6172,168,2023-02-08,ganho
178,8793,173,2023-11-05,ganho
179,8801,191,2023-12-30,ganho
180,13495,122,2023-08-21,cancelado
181,10558,121,2023-02-02,ganho
182,10255,3,2024-02-07,ganho
183,12385,75,2024-02-12,ganho
184,21187,59,2022-08-23,ganho
185,8064,23,2023-03-23,ganho
186,10896,191,2024-09-07,ganho
187,19371,107,2024-11-12,em_negociacao
188,8047,167,2022-07-21,ganho
189,21376,22,2025-01-02,ganho
190,10842,188,2023-03-26,ganho
191,6037,114,2025-04-22,em_negociacao
192,9723,123,2022-03-16,ganho
193,1632,7,2023-05-20,ganho
194,21064,22,2022-01-01,ganho
195,15403,58,2023-05-22,em_negociacao
196,20615,38,2024-10-07,em_negociacao
197,20154,28,2022-11-23,ganho
198,23671,112,2023-05-05,ganho
199,14556,164,2022-11-13,ganho
200,11498,93,2024-07-14,ganho
201,3475,116,2023-10-30,ganho
202,7707,54,2022-01-02,ganho
203,1892,82,2025-06-13,em_negociacao
204,19054,159,2024-03-11,ganho
205,19615,48,2023-05-17,ganho
206,9730,30,2024-06-05,ganho
207,4073,51,2025-06-15,ganho
208,8546,48,2025-02-15,ganho
209,13115,151,2023-12-24,ganho
210,21233,70,2022-01-03,ganho
211,23882,181,2022-07-31,em_negociacao
212,13624,105,2025-01-03,ganho
213,2757,48,2023-09-15,ganho
214,8307,31,2022-03-22,em_negociacao
215,18967,119,2025-09-04,cancelado
216,14375,122,2023-08-26,ganho
217,3657,182,2022-02-09,ganho
218,15203,161,2025-06-04,ganho
219,22400,159,2022-08-03,ganho
220,19318,111,2025-07-05,ganho
221,12909,52,2025-08-11,ganho
222,12397,178,2025-01-05,ganho
223,23746,199,2024-05-31,ganho
224,7365,125,2023-10-07,ganho
225,16654,138,2022-06-26,cancelado
226,10323,5,2022-08-11,em_negociacao
227,11914,30,2024-05-10,ganho
228,3761,176,2022-07-04,em_negociacao
229,22197,149,2022-07-03,ganho
230,4661,128,2024-09-23,ganho
231,96,29,2022-05-30,cancelado
232,22617,25,2022-05-10,ganho
233,5806,93,2023-10-20,em_negociacao
234,22459,196,2023-11-09,ganho
235,12865,51,2024-09-10,ganho
236,22115,175,2022-08-29,ganho
237,9014,92,2025-06-29,ganho
238,3705,113,2025-04-22,ganho
239,5690,158,2023-05-05,ganho
240,10919,181,2023-10-16,cancelado
241,14683,62,2025-07-03,ganho
242,13666,59,2023-09-20,ganho
243,17359,175,2022-07-02,ganho
244,4705,142,2024-08-19,ganho
245,18611,139,2022-04-04,ganho
246,11351,3,2024-02-05,ganho
247,10878,173,2024-06-07,ganho
248,7630,22,2022-01-21,ganho
249,4326,104,2024-11-15,cancelado
250,5357,15,2025-02-12,ganho
251,12245,98,2024-01-07,ganho
252,4935,65,2023-11-10,em_negociacao
253,888,36,2022-01-23,ganho
254,22619,64,2024-12-21,ganho
255,21981,112,2024-11-16,ganho
256,1867,89,2022-02-09,ganho
257,15237,124,2024-07-21,em_negociacao
258,13931,36,2023-04-07,ganho
259,15547,4,2022-08-04,cancelado
260,16475,101,2022-05-24,ganho
261,3252,66,2025-06-17,ganho
262,22593,82,2025-09-19,ganho
263,14241,39,2023-03-14,ganho
264,19045,140,2022-10-18,ganho
265,2986,122,2022-07-26,ganho
266,3778,108,2023-05-19,ganho
267,5878,175,2023-07-23,em_negociacao
268,16737,7,2024-12-09,em_negociacao
269,1575,125,2023-11-21,em_negociacao
270,3077,160,2025-08-16,ganho
271,4067,80,2023-10-11,ganho
272,17442,26,2023-04-15,ganho
273,18473,148,2024-12-19,ganho
274,18708,71,2022-12-15,ganho
275,6738,174,2025-02-26,em_negociacao
276,20071,112,2024-10-25,ganho
277,5275,30,2025-08-02,ganho
278,7032,36,2022-12-27,em_negociacao
279,8019,114,2023-10-06,ganho
280,16457,115,2025-07-07,ganho
281,2644,150,2024-06-12,ganho
282,23568,125,2023-11-04,ganho
